t,#,x,y,road,speed,turn,
55,2,220.614444,107.430000,9,13.888889,0,
56,2,227.558889,107.430000,9,13.888889,0,
57,2,234.503333,107.430000,9,13.888889,0,
58,2,241.447778,107.430000,9,13.888889,0,
59,2,248.392222,107.430000,9,13.888889,0,
60,2,255.336667,107.430000,9,13.888889,0,
61,2,262.281111,107.430000,9,13.888889,0,
1,3,0.000000,199.640000,16,7.000000,0,
2,3,0.000000,203.140000,16,7.000000,0,
3,3,0.000000,206.640000,16,10.500000,0,
4,3,0.000000,211.890000,16,13.888889,0,
5,3,0.000000,224.140000,16,13.888889,1,
6,3,0.000000,224.140000,2,5.556656,0,
7,3,0.000000,224.140000,2,5.556656,0,
8,3,0.000000,224.140000,2,5.556656,0,
9,3,0.000000,224.140000,2,5.556656,0,
10,3,0.000000,224.140000,2,5.556656,0,
11,3,0.000000,224.140000,2,5.556656,0,
12,3,0.000000,224.140000,2,5.556656,0,
13,3,0.000000,224.140000,2,5.556656,0,
14,3,0.000000,224.140000,2,5.556656,0,
15,3,0.000000,224.140000,2,5.556656,0,
16,3,2.778328,224.140000,2,9.056656,0,
17,3,7.306656,224.140000,2,12.556656,0,
18,3,13.584984,224.140000,2,13.888889,0,
19,3,20.529429,224.140000,2,13.888889,0,
20,3,27.473873,224.140000,2,13.888889,0,
21,3,34.418317,224.140000,2,13.888889,0,
22,3,41.362762,224.140000,2,13.888889,0,
23,3,48.307206,224.140000,2,13.888889,0,
24,3,55.251651,224.140000,2,13.888889,0,
25,3,62.196095,224.140000,2,13.888889,0,
26,3,69.140540,224.140000,2,13.888889,0,
27,3,76.084984,224.140000,2,13.888889,0,
28,3,83.029429,224.140000,2,13.888889,0,
29,3,89.973873,224.140000,2,13.888889,0,
30,3,96.918317,224.140000,2,13.888889,0,
31,3,103.862762,224.140000,2,13.888889,0,
32,3,110.807206,224.140000,2,13.888889,0,
33,3,117.751651,224.140000,2,13.888889,0,
34,3,124.696095,224.140000,2,13.888889,0,
35,3,131.640540,224.140000,2,13.888889,0,
36,3,138.584984,224.140000,2,13.888889,0,
37,3,145.529429,224.140000,2,13.888889,0,
38,3,152.473873,224.140000,2,13.888889,0,
39,3,159.418317,224.140000,2,13.888889,0,
40,3,166.362762,224.140000,2,13.888889,0,
41,3,173.307206,224.140000,2,13.888889,0,
42,3,180.251651,224.140000,2,13.888889,0,
43,3,187.196095,224.140000,2,13.888889,0,
44,3,194.140540,224.140000,2,13.888889,0,
45,3,201.084984,224.140000,2,13.888889,0,
