t,#,x,y,road,speed,turn,
10,4,0.000000,88.676667,27,13.888889,0,
11,4,0.000000,95.621111,27,13.888889,0,
12,4,0.000000,102.565556,27,13.888889,0,
13,4,0.000000,109.510000,27,13.888889,0,
14,4,0.000000,116.454444,27,13.888889,0,
15,4,0.000000,123.398889,27,13.888889,0,
16,4,0.000000,130.343333,27,13.888889,0,
17,4,0.000000,137.287778,27,13.888889,0,
18,4,0.000000,144.232222,27,13.888889,0,
19,4,0.000000,151.176667,27,13.888889,0,
20,4,0.000000,158.121111,27,13.888889,0,
21,4,0.000000,170.970000,27,13.888889,1,
22,4,0.000000,170.970000,4,5.600389,0,
23,4,0.000000,170.970000,4,5.600389,0,
24,4,0.000000,170.970000,4,5.600389,0,
25,4,0.000000,170.970000,4,5.600389,0,
26,4,0.000000,170.970000,4,5.600389,0,
27,4,0.000000,170.970000,4,5.600389,0,
28,4,0.000000,170.970000,4,5.600389,0,
29,4,0.000000,170.970000,4,5.600389,0,
30,4,0.000000,170.970000,4,5.600389,0,
31,4,0.000000,170.970000,4,5.600389,0,
32,4,2.800194,170.970000,4,13.888889,0,
33,4,9.744639,170.970000,4,13.888889,0,
34,4,16.689083,170.970000,4,13.888889,0,
35,4,23.633528,170.970000,4,13.888889,0,
36,4,30.577972,170.970000,4,13.888889,0,
37,4,37.522417,170.970000,4,13.888889,0,
38,4,44.466861,170.970000,4,13.888889,0,
39,4,51.411306,170.970000,4,13.888889,0,
40,4,58.355750,170.970000,4,13.888889,0,
41,4,65.300194,170.970000,4,13.888889,0,
1,5,21.720000,295.590000,1,7.000000,0,
2,5,18.220000,295.590000,1,7.000000,0,
3,5,14.720000,295.590000,1,10.500000,0,
4,5,9.470000,295.590000,1,13.888889,0,
5,5,0.000000,295.190000,1,13.888889,1,
6,5,0.000000,295.190000,15,2.081017,0,
7,5,0.000000,295.190000,15,2.081017,0,
8,5,0.000000,295.190000,15,2.081017,0,
9,5,0.000000,295.190000,15,2.081017,0,
10,5,0.000000,295.190000,15,2.081017,0,
11,5,0.000000,295.190000,15,2.081017,0,
12,5,0.000000,295.190000,15,2.081017,0,
13,5,0.000000,295.190000,15,2.081017,0,
14,5,0.000000,295.190000,15,2.081017,0,
15,5,0.000000,295.190000,15,2.081017,0,
16,5,0.000000,294.149491,15,5.581017,0,
17,5,0.000000,291.358983,15,9.081017,0,
18,5,0.000000,286.818474,15,12.581017,0,
19,5,0.000000,280.527965,15,13.888889,0,
20,5,0.000000,273.583521,15,13.888889,0,
21,5,0.000000,266.639076,15,13.888889,0,
22,5,0.000000,259.694632,15,13.888889,0,
23,5,0.000000,252.750187,15,13.888889,0,
24,5,0.000000,245.805743,15,13.888889,0,
25,5,0.000000,238.861299,15,13.888889,0,
26,5,0.000000,231.916854,15,13.888889,0,
27,5,0.000000,224.972410,15,13.888889,0,
28,5,0.000000,218.027965,15,13.888889,0,
29,5,0.000000,211.083521,15,13.888889,0,
30,5,0.000000,204.139076,15,13.888889,0,
31,5,0.000000,197.194632,15,13.888889,0,
32,5,0.000000,190.250187,15,13.888889,0,
33,5,0.000000,183.305743,15,13.888889,0,
34,5,0.000000,170.970000,15,13.888889,1,
35,5,0.000000,170.970000,4,5.600389,0,
36,5,0.000000,170.970000,4,5.600389,0,
37,5,0.000000,170.970000,4,5.600389,0,
38,5,2.800194,170.970000,4,13.888889,0,
39,5,9.744639,170.970000,4,13.888889,0,
40,5,16.689083,170.970000,4,13.888889,0,
41,5,23.633528,170.970000,4,13.888889,0,
1,6,190.500000,295.590000,0,7.000000,0,
2,6,187.000000,295.590000,0,7.000000,0,
3,6,183.500000,295.590000,0,10.500000,0,
4,6,178.250000,295.590000,0,13.888889,0,
5,6,171.305556,295.590000,0,13.888889,0,
6,6,164.361111,295.590000,0,13.888889,0,
7,6,157.416667,295.590000,0,13.888889,0,
8,6,150.472222,295.590000,0,13.888889,0,
9,6,143.527778,295.590000,0,13.888889,0,
10,6,136.583333,295.590000,0,13.888889,0,
11,6,129.638889,295.590000,0,13.888889,0,
12,6,122.694444,295.590000,0,13.888889,0,
13,6,115.750000,295.590000,0,13.888889,0,
14,6,108.805556,295.590000,0,13.888889,0,
15,6,101.861111,295.590000,0,13.888889,0,
16,6,94.916667,295.590000,0,13.888889,0,
17,6,87.972222,295.590000,0,13.888889,0,
18,6,81.027778,295.590000,0,13.888889,0,
19,6,74.083333,295.590000,0,13.888889,0,
20,6,67.138889,295.590000,0,13.888889,0,
21,6,60.194444,295.590000,0,13.888889,0,
22,6,53.250000,295.590000,0,13.888889,0,
23,6,46.305556,295.590000,0,13.888889,0,
24,6,39.361111,295.590000,0,13.888889,0,
25,6,32.416667,295.590000,0,13.888889,0,
26,6,25.472222,295.590000,0,13.888889,0,
27,6,18.527778,295.590000,0,13.888889,0,
28,6,11.583333,295.590000,0,13.888889,0,
29,6,0.000000,295.190000,0,13.888889,1,
30,6,0.000000,295.190000,15,2.081017,0,
31,6,0.000000,295.190000,15,2.081017,0,
32,6,0.000000,295.190000,15,2.081017,0,
33,6,0.000000,295.190000,15,2.081017,0,
34,6,0.000000,295.190000,15,2.081017,0,
35,6,0.000000,295.190000,15,2.081017,0,
36,6,0.000000,295.190000,15,2.081017,0,
37,6,0.000000,295.190000,15,2.081017,0,
38,6,0.000000,295.190000,15,2.081017,0,
39,6,0.000000,295.190000,15,2.081017,0,
40,6,0.000000,294.149491,15,12.581017,0,
41,6,0.000000,287.858983,15,13.888889,0,
1,7,240.070000,104.430000,9,7.000000,0,
2,7,243.570000,104.430000,9,7.000000,0,
3,7,247.070000,104.430000,9,10.500000,0,
4,7,252.320000,104.430000,9,13.888889,0,
5,7,259.264444,104.430000,9,13.888889,0,
6,7,266.208889,104.430000,9,13.888889,0,
7,7,273.153333,104.430000,9,13.888889,0,
8,7,280.097778,104.430000,9,13.888889,0,
9,7,287.042222,104.430000,9,13.888889,0,
10,7,293.986667,104.430000,9,13.888889,0,
11,7,300.931111,104.430000,9,13.888889,0,
12,7,307.875556,104.430000,9,13.888889,0,
13,7,314.820000,104.430000,9,13.888889,0,
14,7,321.764444,104.430000,9,13.888889,0,
15,7,328.708889,104.430000,9,13.888889,0,
16,7,335.653333,104.430000,9,13.888889,0,
17,7,342.597778,104.430000,9,13.888889,0,
18,7,349.542222,104.430000,9,13.888889,0,
19,7,356.486667,104.430000,9,13.888889,0,
