5号车: x=27.174045, y=316.804902, on road number15, speed=13.888889
5号车: x=32.608854, y=321.127883, on road number15, speed=13.888889

6号车: x=190.500000, y=295.590000, on road number0, speed=7.000000
6号车: x=187.000000, y=295.590000, on road number0, speed=7.000000
6号车: x=183.500000, y=295.590000, on road number0, speed=10.500000
6号车: x=178.250000, y=295.590000, on road number0, speed=13.888889
6号车: x=171.305556, y=295.590000, on road number0, speed=13.888889
6号车: x=164.361111, y=295.590000, on road number0, speed=13.888889
6号车: x=157.416667, y=295.590000, on road number0, speed=13.888889
6号车: x=150.472222, y=295.590000, on road number0, speed=13.888889
6号车: x=143.527778, y=295.590000, on road number0, speed=13.888889
6号车: x=136.583333, y=295.590000, on road number0, speed=13.888889
6号车: x=129.638889, y=295.590000, on road number0, speed=13.888889
6号车: x=122.694444, y=295.590000, on road number0, speed=13.888889
6号车: x=115.750000, y=295.590000, on road number0, speed=13.888889
6号车: x=108.805556, y=295.590000, on road number0, speed=13.888889
6号车: x=101.861111, y=295.590000, on road number0, speed=13.888889
6号车: x=94.916667, y=295.590000, on road number0, speed=13.888889
6号车: x=87.972222, y=295.590000, on road number0, speed=13.888889
6号车: x=81.027778, y=295.590000, on road number0, speed=13.888889
6号车: x=74.083333, y=295.590000, on road number0, speed=13.888889
6号车: x=67.138889, y=295.590000, on road number0, speed=13.888889
6号车: x=60.194444, y=295.590000, on road number0, speed=13.888889

7号车: x=240.070000, y=104.430000, on road number9, speed=7.000000
7号车: x=243.570000, y=104.430000, on road number9, speed=7.000000
7号车: x=247.070000, y=104.430000, on road number9, speed=10.500000
7号车: x=252.320000, y=104.430000, on road number9, speed=13.888889
7号车: x=259.264444, y=104.430000, on road number9, speed=13.888889
7号车: x=266.208889, y=104.430000, on road number9, speed=13.888889
7号车: x=273.153333, y=104.430000, on road number9, speed=13.888889
7号车: x=280.097778, y=104.430000, on road number9, speed=13.888889
7号车: x=287.042222, y=104.430000, on road number9, speed=13.888889
7号车: x=293.986667, y=104.430000, on road number9, speed=13.888889
7号车: x=300.931111, y=104.430000, on road number9, speed=13.888889
7号车: x=307.875556, y=104.430000, on road number9, speed=13.888889
7号车: x=314.820000, y=104.430000, on road number9, speed=13.888889
7号车: x=321.764444, y=104.430000, on road number9, speed=13.888889
7号车: x=328.708889, y=104.430000, on road number9, speed=13.888889
7号车: x=335.653333, y=104.430000, on road number9, speed=13.888889
7号车: x=342.597778, y=104.430000, on road number9, speed=13.888889
7号车: x=349.542222, y=104.430000, on road number9, speed=13.888889
7号车: x=356.486667, y=104.430000, on road number9, speed=13.888889
7号车: x=363.431111, y=104.430000, on road number9, speed=13.888889
7号车: x=371.110000, y=107.430000, on road number9, speed=13.888889

8号车: x=151.170000, y=198.520000, on road number18, speed=7.000000
8号车: x=151.170000, y=195.020000, on road number18, speed=7.000000
8号车: x=151.170000, y=191.520000, on road number18, speed=10.500000
8号车: x=151.170000, y=186.270000, on road number18, speed=13.888889
8号车: x=151.170000, y=179.325556, on road number18, speed=13.888889
8号车: x=151.170000, y=172.381111, on road number18, speed=13.888889
8号车: x=151.170000, y=165.436667, on road number18, speed=13.888889
8号车: x=151.170000, y=158.492222, on road number18, speed=13.888889
8号车: x=151.170000, y=151.547778, on road number18, speed=13.888889
8号车: x=151.170000, y=144.603333, on road number18, speed=13.888889
8号车: x=151.170000, y=137.658889, on road number18, speed=13.888889
8号车: x=151.170000, y=130.714444, on road number18, speed=13.888889
8号车: x=151.170000, y=123.770000, on road number18, speed=13.888889
8号车: x=151.170000, y=107.430000, on road number18, speed=13.888889
8号车: x=151.170000, y=107.430000, on road number11, speed=13.888889
8号车: x=151.170000, y=107.430000, on road number11, speed=13.888889
8号车: x=151.170000, y=107.430000, on road number11, speed=13.888889
8号车: x=151.170000, y=107.430000, on road number11, speed=13.888889
8号车: x=151.170000, y=107.430000, on road number11, speed=13.888889
8号车: x=151.170000, y=107.430000, on road number11, speed=13.888889
8号车: x=151.170000, y=107.430000, on road number11, speed=13.888889

9号车: x=47.350000, y=170.970000, on road number4, speed=7.000000
9号车: x=50.850000, y=170.970000, on road number4, speed=7.000000
9号车: x=54.350000, y=170.970000, on road number4, speed=10.500000
9号车: x=59.600000, y=170.970000, on road number4, speed=13.888889
9号车: x=66.544444, y=170.970000, on road number4, speed=13.888889
9号车: x=73.488889, y=170.970000, on road number4, speed=13.888889
9号车: x=80.433333, y=170.970000, on road number4, speed=13.888889
9号车: x=87.377778, y=170.970000, on road number4, speed=13.888889
9号车: x=94.322222, y=170.970000, on road number4, speed=13.888889
9号车: x=101.266667, y=170.970000, on road number4, speed=13.888889
9号车: x=108.211111, y=170.970000, on road number4, speed=13.888889
9号车: x=115.155556, y=170.970000, on road number4, speed=13.888889
9号车: x=122.100000, y=170.970000, on road number4, speed=13.888889
9号车: x=129.044444, y=170.970000, on road number4, speed=13.888889
9号车: x=135.988889, y=170.970000, on road number4, speed=13.888889
9号车: x=142.933333, y=170.970000, on road number4, speed=13.888889
9号车: x=149.877778, y=170.970000, on road number4, speed=13.888889
9号车: x=156.822222, y=170.970000, on road number4, speed=13.888889
9号车: x=163.766667, y=170.970000, on road number4, speed=13.888889
9号车: x=170.711111, y=170.970000, on road number4, speed=13.888889
9号车: x=177.655556, y=170.970000, on road number4, speed=13.888889

10号车: x=224.480000, y=48.890000, on road number15, speed=7.000000
10号车: x=227.980000, y=48.890000, on road number15, speed=7.000000
10号车: x=231.480000, y=48.890000, on road number15, speed=10.500000
10号车: x=236.730000, y=48.890000, on road number15, speed=13.888889
10号车: x=243.674444, y=48.890000, on road number15, speed=13.888889
10号车: x=250.618889, y=48.890000, on road number15, speed=13.888889
10号车: x=257.563333, y=48.890000, on road number15, speed=13.888889
